aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
albigense	 1. adj. Natural de Albi. U. t. c. s. 2. adj. Perteneciente o relativo a esta ciudad de Francia. 3. adj. Se dice del hereje de una secta que tuvo su principal asiento en la ciudad de Albi durante los siglos XII y XIII. U. m. c. s. m. pl. 4. adj. Perteneciente o relativo a estos herejes. 
albihar	 1. m. manzanilla loca. 
albilla	 1. f. uva albilla. 
albillo	 1. m. uva albilla. 2. m. vino albillo. 
albina	 1. f. Estero o laguna que se forma con las aguas del mar en las tierras bajas que están inmediatas a él. 2. f. Sal que queda en estas lagunas. albino, na. (Del lat. mediev. albinus). 1. adj. Dicho de un ser vivo: Que presenta ausencia congénita de pigmentación, por lo que su piel, pelo, iris, plumas, flores, etc., son más o menos blancos a diferencia de los colores propios de su especie, variedad o raza. U. t. c. s. 2. adj. Méx. Se decía del descendiente de morisco y europea o de europeo y morisca. Era u. t. c. s. 
albinismo	 1. m. Cualidad de albino. 
albino	 1. adj. Dicho de un ser vivo: Que presenta ausencia congénita de pigmentación, por lo que su piel, pelo, iris, plumas, flores, etc., son más o menos blancos a diferencia de los colores propios de su especie, variedad o raza. U. t. c. s. 2. adj. Méx. Se decía del descendiente de morisco y europea o de europeo y morisca. Era u. t. c. s. 
albita	 1. f. Feldespato formado por silicatos de aluminio y sodio y cuyo color es más comúnmente blanco. 
albitana	 1. f. Cerca con que los jardineros resguardan las plantas. 2. f. Mar. En faluchos y embarcaciones menores, contrarroda. 3. f. Mar. En faluchos y embarcaciones menores, contracodaste. 
albo	 1. adj. blanco. U. m. en leng. poét. 2. f. amanecer2. 3. f. Primera luz del día antes de salir el Sol. 4. f. Último de los cuartos en que para los centinelas se dividía la noche. 5. f. Vestidura o túnica de lienzo blanco que los sacerdotes, diáconos y subdiáconos se ponen sobre el hábito y el amito para celebrar los oficios divinos. 6. f. germ. sábana. no, sino el alba. 1. expr. irón. desus. Era u. para responder a quien preguntaba lo evidente. quebrar, rayar, reír, o romper, el alba. 1. locs. verbs. amanecer (‖ empezar a aparecer la luz del día). □ V. duque de alba el lucero del alba hierro albo lucero del alba misa del alba pitiriasis alba toque del alba 
alboaire	 1. m. Labor que se hacía en las capillas o bóvedas, especialmente en las esféricas, adornándolas con azulejo. 2. adj. Se decía de la armadura o bóveda guarnecidas con este género de adorno. 
albogón	 1. m. Instrumento musical antiguo de madera, de unos nueve decímetros de largo, a manera de flauta dulce o de pico, con siete agujeros para los dedos, el cual servía de bajo en los conciertos de flautas. 2. m. Instrumento parecido a la gaita gallega. 
albogue	 1. m. Especie de flauta simple y rústica, o doble y de mayor complejidad de forma, generalmente de madera, caña o cuerno, propia de juglares y pastores. U. m. en pl. 2. m. Cada uno de los dos platillos pequeños de latón que se usan para indicar el ritmo en las canciones y bailes populares. 
alboguear	 1. intr. p. us. Tocar el albogue. 
alboguero	 1. m. y f. Persona que toca el albogue. 2. m. y f. Persona que hace albogues. 
alboheza	 1. f. desus. malva. 
albohol	 1. m. correhuela (‖ mata convolvulácea). 2. m. Planta anual de la familia de las Franqueniáceas, con tallos duros, tendidos y ramosos como de medio metro de largo, hojas menudas, dobladas por las orillas, y flores azules y muy pequeñas. Toda la planta está cubierta de polvo salado y sirve para hacer barrilla. 
albollón	 1. m. Desaguadero de estanques, corrales, patios, etc. 2. m. albañal. 
albóndiga	 1. f. Cada una de las bolas que se hacen de carne o pescado picado menudamente y trabado con ralladuras de pan, huevos batidos y especias, y que se comen guisadas o fritas. 
albondiguilla	 1. f. albóndiga. 2. f. Pelotilla de moco seco. 
alboquerón	 1. m. Planta de la familia de las Crucíferas, muy parecida al alhelí, con varios tallos de unos tres decímetros de largo, cubiertos, como toda la planta, de pelos blanquecinos, hojas lanceoladas y dentadas, flores rojas en corimbo y semillas en vainas cilíndricas. 
albor	 1. m. albura (‖ blancura perfecta). 2. m. Luz del alba. U. m. en pl. con el mismo significado que en sing. 3. m. Comienzo o principio de algo. U. m. en pl. con el mismo significado que en sing. 4. m. Infancia o juventud. U. m. en pl. con el mismo significado que en sing. ~ de la vida. 1. m. Infancia o juventud. ~es de la vida. 1. m. pl. albor de la vida. quebrar ~es. 1. loc. verb. amanecer (‖ empezar a aparecer la luz del día). 
alborada	 1. f. Tiempo de amanecer o rayar el día. 2. f. Música al amanecer y al aire libre para festejar a alguien. 3. f. Composición poética o musical destinada a cantar la mañana. 4. f. Acción de guerra al amanecer. 5. f. Toque o música militar al romper el alba, para avisar la venida del día. 
alborear	 1. intr. impers. amanecer (‖ empezar a aparecer la luz del día). Se durmió casi al alborear. 2. intr. Dicho del día: Empezar, tener principio. Se levanta cuando alborea el día. 
alborecer	 1. intr. impers. p. us. amanecer (‖ empezar a aparecer la luz del día). MORF. conjug. c. agradecer. 
alborga	 1. f. Calzado que en algunas provincias usa la gente rústica, y se hace de soga o cuerda de esparto, a manera de alpargata. 
albornía	 1. f. Vasija grande de barro vidriado, de forma de taza. 
alborno	 1. m. alburno. 
albornoz	 1. m. Tela hecha con estambre muy torcido y fuerte, a manera de cordoncillo. 2. m. Especie de capa o capote con capucha. 3. m. Prenda de tela esponjosa, que se utiliza para secarse después del baño. 
alborocera	 1. f. Ar. madroño (‖ arbusto ericáceo). 2. f. Ar. madroño (‖ fruto). 
alboronía	 1. f. Guisado de diferentes hortalizas picadas y revueltas. 
alboroque	 1. m. Agasajo que hacen el comprador, el vendedor, o ambos, a quienes intervienen en una venta. 2. m. Regalo o convite que se hace para recompensar un servicio o por cualquier motivo de alegría. 
alborotadizo	 1. adj. Que por ligero motivo se alborota o inquieta. 
alborotado	 1. adj. Dicho del pelo: Revuelto o enmarañado. 2. adj. Que por demasiada viveza obra precipitadamente y sin reflexión. 3. adj. Inquieto, díscolo, revoltoso. 4. adj. Arg., El Salv. y Pan. Dicho de un animal, especialmente de una hembra: En celo. 5. adj. coloq. Cuba, El Salv. y Ur. Dicho de una persona: Sexualmente excitada. 
alborotador	 1. adj. Que alborota. U. t. c. s. 
alborotapueblos	 1. com. Alborotador, tumultuario. 2. com. coloq. Persona de buen humor y dada a mover bulla y fiesta. 
alborotar	 1. tr. Inquietar, alterar, conmover, perturbar. U. t. c. prnl. 2. tr. Amotinar, sublevar. U. t. c. prnl. 3. tr. encrespar (‖ las ondas del agua). U. t. c. prnl. 4. tr. p. us. Causar alegría. U. t. c. prnl. 
alborote	 1. tr. Inquietar, alterar, conmover, perturbar. U. t. c. prnl. 2. tr. Amotinar, sublevar. U. t. c. prnl. 3. tr. encrespar (‖ las ondas del agua). U. t. c. prnl. 4. tr. p. us. Causar alegría. U. t. c. prnl. 
alboroto	 1. m. Vocerío o estrépito causado por una o varias personas. 2. m. Desorden, tumulto. 3. m. Asonada, motín. 4. m. Sobresalto, inquietud, zozobra. 5. m. Am. Cen. y Col. Rosetas de maíz o maicillo con azúcar o miel. 6. m. Ec. y Méx. alborozo (‖ regocijo, alegría). 
alborozadamente	 1. adv. m. Con alborozo. 
alborozador	 1. adj. Que alboroza o causa alborozo. U. t. c. s. 
alborozamiento	 1. m. desus. alborozo. 
alborozar	 1. tr. Causar extraordinario regocijo, placer o alegría. U. t. c. prnl. 2. tr. ant. Causar extraordinario desorden. Era u. t. c. prnl. 
alborozo	 1. m. Extraordinario regocijo, placer o alegría. 2. m. ant. Extraordinario desorden. 
alborto	 1. m. madroño (‖ arbusto ericáceo). 
albotín	 1. m. terebinto. 
albricia	 1. f. p. us. albricias (‖ regalo que se da por alguna buena nueva). 
albriciar	 1. tr. Dar una noticia agradable. MORF. conjug. c. anunciar. 
albricias	 1. f. pl. Regalo que se da por alguna buena nueva a quien trae la primera noticia de ella. 2. f. pl. Regalo que se da o se pide con motivo de un fausto suceso. albricias. 1. interj. U. para denotar júbilo. ganar alguien las ~. 1. loc. verb. Ser el primero en dar alguna buena noticia al interesado en ella. 
albudeca	 1. f. Sandía de mala calidad. 
albuérbola	 1. f. desus. albórbola. 
albufera	 1. f. Laguna litoral, en costa baja, de agua salina o ligeramente salobre, separada del mar por una lengua o cordón de arenas, como la de Valencia o la de Alcudia, en Mallorca. 
albugíneo	 1. adj. Enteramente blanco. 2. adj. Anat. Se dice de la membrana fibrosa, blanca y brillante que rodea el tejido propio del testículo. En el hombre tiene aproximadamente un milímetro de grosor. U. t. c. s. f. 
albugo	 1. m. Med. Mancha blanca de la córnea, debida a granulaciones de grasas depositadas en el tejido de dicha membrana. 2. m. Med. Pequeña mancha blanca de la uña. 
albuhera	 1. f. ant. albufera. 2. f. ant. Depósito artificial de agua, como estanque o alberca. 
albumen	 1. m. Clara de huevo, compuesta principalmente de albúmina. 2. m. Bot. Tejido que rodea el embrión de algunas plantas, como el trigo y el ricino, y le sirve de alimento cuando la semilla germina. Su aspecto varía según la naturaleza de las sustancias nutritivas que contiene, pudiendo ser carnoso, amiláceo, oleaginoso, córneo y mucilaginoso. 
albúmina	 1. f. Quím. Cada una de las numerosas sustancias albuminoideas que forman principalmente la clara de huevo. Se hallan también en los plasmas sanguíneo y linfático, en los músculos, en la leche y en las semillas de muchas plantas. 
albuminado	 1. adj. Dicho de una hoja de papel, tela o vidrio: Cubierta con una capa de albúmina. 
albuminar	 1. tr. Preparar con albúmina los papeles o placas para la fotografía. 
albuminoide	 1. m. Biol. y Quím. Clase de proteínas que presentan en disolución el aspecto y las propiedades de la clara de huevo, de las gelatinas o de la cola de pescado. 
albuminoideo	 1. adj. Biol. y Quím. Que tiene aspecto y propiedades de albuminoide. 
albuminómetro	 1. m. Quím. Tubo de vidrio graduado que sirve para determinar la albúmina que contiene un líquido orgánico. 
albuminoso	 1. adj. Que contiene albúmina. 
albuminuria	 1. f. Med. Fenómeno que se presenta en algunas enfermedades y consiste en la existencia de albúmina en la orina. 
albur	 1. m. mújol. 2. (Por designar en origen una carta que saltaba inopinadamente en el juego, como pez fuera del agua). m. En el juego del monte, dos primeras cartas que saca el banquero. 3. m. Contingencia o azar a que se fía el resultado de alguna empresa. Jugar, correr un albur. 4. m. Méx. y R. Dom. Juego de palabras de doble sentido. 5. m. Nic. Aventura amorosa. 6. m. P. Rico. Mentira, rumor. 7. m. pl. parar2. 8. m. pl. Hond. Mentiras, infundios. en el ~ de arranque. 1. loc. adv. coloq. Cuba. En el momento de marcharse precipitadamente de un lugar. 2. loc. adv. coloq. Cuba. En el período final de la realización de una tarea. 
albura	 1. f. Blancura perfecta. 2. f. Bot. Capa blanda, de color blanquecino, que se halla inmediatamente debajo de la corteza en los tallos leñosos o troncos de los vegetales gimnospermos y angiospermos dicotiledóneos, formada por los anillos anuales más jóvenes. 3. f. ant. clara (‖ de huevo). doble ~. 1. f. Bot. Defecto que tiene la madera cuando su textura es más floja en alguna de las capas de su crecimiento anual. 
alburente	□ V. madera alburente 
alburero	 1. adj. Méx. Dicho de una persona: Que gusta de emplear albures (‖ juegos de palabras). U. m. c. s. 2. m. y f. Persona que juega a los albures (‖ cartas del juego del monte). 
alburno	 1. m. Bot. albura (‖ capa blanda que se halla debajo de la corteza de algunos vegetales). 
alcabala	 1. f. Tributo del tanto por ciento del precio que pagaba al fisco el vendedor en el contrato de compraventa y ambos contratantes en el de permuta. 2. f. Col. y Ven. Puesto de policía en las salidas de las ciudades y carreteras. ~ del viento. 1. f. Tributo que pagaba el forastero por los géneros que vendía. 
alcabalatorio	 1. adj. Perteneciente o relativo a la alcabala. 2. adj. Se dice del libro en que están recopiladas las leyes y ordenanzas concernientes al modo de repartir y cobrar las alcabalas. U. m. c. s. m. 3. adj. Se dice de la lista o padrón que servía para el repartimiento de las alcabalas. U. t. c. s. m. 4. adj. Se dice del territorio en que se pagaban o cobraban las alcabalas. 
alcabalero	 1. m. Administrador o cobrador de alcabalas. 2. m. Arrendatario de las alcabalas de alguna provincia, ciudad o pueblo. 3. m. Cobrador de tributos o impuestos aunque no sean de alcabala. 
alcabor	 1. m. Hueco de la campana del horno o de la chimenea. 
alcabota	 1. f. And. cabezuela (‖ planta compuesta). 
alcabtea	 1. f. ant. Tela fina de lino. 
alcabuz	 1. m. desus. arcabuz. 
alcacel	 1. m. alcacer. 
alcaceña	□ V. tabla alcaceña 
alcacer	 1. m. Cebada verde y en hierba. 2. m. cebadal. estar ya duro el ~ para zampoñas. 1. loc. verb. coloq. desus. Dicho de una persona: No estar ya en edad de aprender o de hacer algo. 2. loc. verb. desus. Haberse pasado la sazón para lograr un propósito o resolver un asunto. retozarle a alguien el ~. 1. (Por alus. a las bestias, que suelen retozar cuando se hartan de verde). loc. verb. coloq. Estar alegre en demasía. 
alcachofa	 1. f. Planta hortense, de la familia de las Compuestas, de raíz fusiforme, tallo estriado, ramoso y de más de medio metro de altura, y hojas algo espinosas, con cabezuelas comestibles. 2. f. Cabezuela de esta planta. 3. f. Cabezuela del cardo y otras plantas análogas. 4. f. Adorno en forma de alcachofa. 5. f. Panecillo de forma que recuerda algo la de la alcachofa. 6. f. Receptáculo redondeado con muchos orificios que, sumergido en una cavidad que contiene agua estancada o corriente, permite la entrada de ella en un aparato destinado a elevarla, impidiendo la entrada de cuerpos extraños. 7. f. Pieza agujereada por donde sale el agua de la regadera o de la ducha. 
alcachofado	 1. m. Sitio plantado de alcachofas. 2. m. Terreno inculto en que abundan los alcauciles. alcachofar2. 1. tr. desus. Abrir como una alcachofa, hinchar, esponjar. 
alcachofal	 1. m. Sitio plantado de alcachofas. 2. m. Terreno inculto en que abundan los alcauciles. 
alcachofar	 1. m. Sitio plantado de alcachofas. 2. m. Terreno inculto en que abundan los alcauciles. alcachofar2. 1. tr. desus. Abrir como una alcachofa, hinchar, esponjar. 
alcachofero	 1. adj. Dicho de un vegetal: Que echa alcachofas. 2. m. y f. Persona que vende alcachofas. 3. f. alcachofa (‖ planta compuesta). 
alcacil	 1. m. alcaucil. 
alcaduz	 1. m. desus. arcaduz. 
alcaecería	 1. f. desus. alcaicería. 
alcafar	 1. m. ant. Ancas de un cuadrúpedo. 
alcahaz	 1. m. Jaula grande para encerrar aves. 
alcahazada	 1. f. desus. Conjunto de aves vivas encerradas en el alcahaz. 
alcahazar	 1. tr. desus. Encerrar o guardar aves en el alcahaz. 
alcahotar	 1. tr. desus. alcahuetear. 
alcahotería	 1. f. desus. alcahuetería. 
alcahueta	 1. f. V. alcahuete. alcahuete, ta. (Del ár. hisp. alqawwád, y este del ár. clás. qawwād). 1. m. y f. Persona que concierta, encubre o facilita una relación amorosa, generalmente ilícita. 2. m. y f. coloq. Persona o cosa que sirve para encubrir lo que se quiere ocultar. 3. m. y f. coloq. correveidile (‖ persona que lleva y trae chismes). 4. m. Teatro. telón corto. 5. f. Teatro. Bastidor que afora ambos laterales en primer término del escenario, con función semejante a la del arlequín. 
alcahuetar	 1. tr. desus. alcahuetear. 
